"SNo","Section","Name_Description","Code","Category","ExamType","Round","Date","URL_Link","Status","Year"
"1","Round Summary","Engineering Cut-off Ranks Mock Round Allotment","","Cutoff Ranks","Engineering","Mock","22.07.2025","","Concluded","2025"
"2","Round Summary","Engineering Cut-off Ranks after Round 1 Allotment","","Cutoff Ranks","Engineering","Round 1","28.07.2025","","Concluded","2025"
"3","Round Summary","Engineering Cut-off Ranks after Round 2 Allotment","","Cutoff Ranks","Engineering","Round 2","12.08.2025","","Concluded","2025"
"4","Round Summary","Engineering Cut-off Ranks after Round 3 Allotment","","Cutoff Ranks","Engineering","Round 3","22.08.2025","","Concluded","2025"
"5","Round Summary","Engineering Cut-off Ranks after Round 4 Allotment","","Cutoff Ranks","Engineering","Round 4","05.09.2025","","Concluded","2025"
"6","Round Summary","Architecture Cut-off Ranks Mock Round Allotment","","Cutoff Ranks","Architecture","Mock","08.09.2025","","Concluded","2025"
"7","Round Summary","Architecture Cut-off Ranks after Round 1 Allotment","","Cutoff Ranks","Architecture","Round 1","10.09.2025","","Concluded","2025"
"8","Round Summary","Architecture Cut-off Ranks after Round 3 Allotment","","Cutoff Ranks","Architecture","Round 3","17.09.2025","","Concluded","2025"
"9","Round Summary","Architecture Cut-off Ranks after Round 4 Allotment","","Cutoff Ranks","Architecture","Round 4","23.09.2025","","Concluded","2025"
"10","College","Acharya Institute of Technology- Soladevanahalli, Bengaluru","E001","","","","","","","2025"
"11","College","Dr. ACS College of Engineering Kambipura -(Mysore Road), Bengaluru","E003","","","","","","","2025"
"12","College","Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru","E004","","","","","","","2025"
"13","College","Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural","E005","","","","","","","2025"
"14","College","Alva's Institute of Engineering & Technology-Moodbidri, Mangaluru","E006","","","","","","","2025"
"15","College","AMC Engineering College-Bannerghatta Rd, Bengaluru","E007","","","","","","","2025"
"16","College","Angadi Institute of Technology and Management-Savagaon Road, Belagavi","E009","","","","","","","2025"
"17","College","APS College of Engineering-Kanakapura Road, Bengaluru","E011","","","","","","","2025"
"18","College","Atria Institute of Technology-Hebbal, Bengaluru","E012","","","","","","","2025"
"19","College","Akshaya Institute of Technology-Koratagere Road, Tumakuru","E013","","","","","","","2025"
"20","College","Anuvartik Mirji Bharatesh Institute of Technology-Shindholli Cross, Belagavi","E014","","","","","","","2025"
"21","College","B.N.M. Institute of Technology-Banashankari, Bengaluru","E015","","","","","","","2025"
"22","College","KLE Technological University (Formerly known as BVBCET)-Vidyanagar, Hubbali","E016","","","","","","","2025"
"23","College","Ballari Institute of Technology & Management-Near Allipura, Ballari","E017","","","","","","","2025"
"24","College","Bangalore Institute of Technology-V V Puram, Bengaluru","E019","","","","","","","2025"
"25","College","Bangalore Technological Institute-Chikkanayakanahalli Dinne, Bengaluru","E020","","","","","","","2025"
"26","College","Bapuji Institute of Engineering & Technology- Shamanur Road, Davangere","E021","","","","","","","2025"
"27","College","Basavakalyan Engineering College-NH9 Basavakalyan, Bidar","E023","","","","","","","2025"
"28","College","Basaveshwar Engineering College-Vidyanagar, Bagalkot","E024","","","","","","","2025"
"29","College","BLDEA""s V.P. Dr. P.G. Halakatti College of Engineering & Technology,Ashram Road, Vijayapura","E026","","","","","","","2025"
"30","College","BMS College of Engineering-Basavanagudi, Bengaluru","E027","","","","","","","2025"
"31","College","BMS Institute of Technology & Management-Yelahanka, Bengaluru","E028","","","","","","","2025"
"32","College","Brindavan College of Engineering-Yelahanka, Bengaluru","E030","","","","","","","2025"
"33","College","C.M.R. Institute of Technology-Brookefield, Bengaluru","E032","","","","","","","2025"
"34","College","Cambridge Institute of Technology, K R Puram, Bengaluru","E033","","","","","","","2025"
"35","College","Channabasaveshwara Institute of Technology-Gubbi, Tumakuru","E035","","","","","","","2025"
"36","College","Chanakya University-Devanahalli,Bengaluru Rural","E036","","","","","","","2025"
"37","College","City Engineering College-Doddakalasandra, Bengaluru","E037","","","","","","","2025"
"38","College","Coorg Institute of Technology-Ponnampet, South Kodagu","E038","","","","","","","2025"
"39","College","Dayananda Sagar Academy of Technology & Management-Kanakapura Road, Bengaluru","E039","","","","","","","2025"
"40","College","Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru","E040","","","","","","","2025"
"41","College","DON BOSCO Institute of Technology-Kumbalgodu, Bengaluru","E041","","","","","","","2025"
"42","College","Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru","E042","","","","","","","2025"
"43","College","Yenepoya Institute of Technology (formerly known as Dr. M V Shetty Institute of Technology)-Moodbidri, Mangaluru","E043","","","","","","","2025"
"44","College","Dr.Shri Shri Shivakumara Mahaswamy College of Engineering-Nelamangala, Bengaluru Rural","E044","","","","","","","2025"
"45","College","HNN College of Engineering - Jayanagar Bengaluru","E045","","","","","","","2025"
"46","College","East Point College of Engineering and Technology-Avalahalli, Bengaluru","E046","","","","","","","2025"
"47","College","East West Institute of Technology-BEL Layout, Bengaluru","E048","","","","","","","2025"
"48","College","Garden City University-Old Madras Road, Bengaluru","E049","","","","","","","2025"
"49","College","Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru","E050","","","","","","","2025"
"50","College","GM Institute of Technology-P B Road, Davangere","E051","","","","","","","2025"
"51","College","Gopalan College of Engineering And Management- Whitefield, Bengaluru","E053","","","","","","","2025"
"52","College","GSSS Institute of Engineering and Technology for Women-Metagalli, Mysuru","E055","","","","","","","2025"
"53","College","H.K.E.Society's P.D.A. College of Engineering-Aiwan E Shahi area, Kalaburgi","E056","","","","","","","2025"
"54","College","Sri Jayachamarajendra College of Engineering (constituent college of JSS Science and Technology University)-Manasagangothri, Mysuru","E058","","","","","","","2025"
"55","College","Jawaharlal Nehru New College of Engineering (JNNCE)-Swalanga Road, Shivamogga","E059","","","","","","","2025"
"56","College","JSS Academy of Technical Education-Kengeri Main Road, Bengaluru","E060","","","","","","","2025"
"57","College","JSS Science & Technology University-Mysuru","E061","","","","","","","2025"
"58","College","Jain College of Engineering-T.S Nagar, Belagavi","E062","","","","","","","2025"
"59","College","Jnana Vikas Institute of Technology-Bidadi, Ramnagar Taluk, Bengaluru Rural","E063","","","","","","","2025"
"60","College","Jain College Of Engineering & Research-Udyambag, Belagavi","E064","","","","","","","2025"
"61","College","KLE Technological University (Formerly called as KLE Dr. M.S. sheshgiri college of Engineering and Technology)-Udyambag, Belagavi","E065","","","","","","","2025"
"62","College","KLE College of Engineering and Technology, Chikodi Dist., Belagavi","E066","","","","","","","2025"
"63","College","K.S School of Engineering And Management-Off Kanakapura Road, Bengaluru","E067","","","","","","","2025"
"64","College","K.S. Institute of Technology-Kanakapura Main Road, Bengaluru","E068","","","","","","","2025"
"65","College","KVG College Of Engineering-Sullia, Dakshina Kannada","E069","","","","","","","2025"
"66","College","Kalpataru Institute of Technology-B H Road, Tiptur","E070","","","","","","","2025"
"67","College","Karavali Institute of Technology- Mangaluru","E071","","","","","","","2025"
"68","College","KLS Gogte Institute of Technology-Udyambag, Belagavi","E073","","","","","","","2025"
"69","College","KLS's. Vishwanathrao Deshpande Institute of Technology-Dandeli Road, Haliyal","E074","","","","","","","2025"
"70","College","K. N. S. INSTITUTE OF TECHNOLOGY-Yelahanka,Bengaluru","E075","","","","","","","2025"
"71","College","M.S. Engineering College-Sadahalli, Bengaluru","E076","","","","","","","2025"
"72","College","M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru","E077","","","","","","","2025"
"73","College","Maharaja Institute of Technology Mysore-Belawadi village, Mandya Dist","E078","","","","","","","2025"
"74","College","Malnad College of Engineering-Rangoli Halla, Hassan","E079","","","","","","","2025"
"75","College","Mangalore Institute of Technology & Engineering-Moodbidri, Mangaluru","E080","","","","","","","2025"
"76","College","Moodalakatte Institute of Technology-Moodalakatte, Kundapura","E081","","","","","","","2025"
"77","College","Maharaja Institute of Technology-Thandavapura, Mysuru","E082","","","","","","","2025"
"78","College","Mysuru Royal Institute of Technology-Palahallli, Mandya District","E083","","","","","","","2025"
"79","College","Nagarjuna College of Engineering & Technology-Devanahalli Bengaluru","E084","","","","","","","2025"
"80","College","The National Institute of Engineering, North Campus-Koorgalli, Mysuru","E085","","","","","","","2025"
"81","College","Navodaya Institute of Technology-Bijangera, Raichur","E088","","","","","","","2025"
"82","College","P.E.S.College of Engineering-PES College Road, Mandya","E089","","","","","","","2025"
"83","College","PES Institute of Technology & Management, Shivamogga","E090","","","","","","","2025"
"84","College","Proudhadevaraya Institute of Technology-TB Dam Road, Hosapete","E094","","","","","","","2025"
"85","College","R V College of Engineering-Mysore Road, Bengaluru","E095","","","","","","","2025"
"86","College","R.L. Jalappa Institute of Technology-Kodigehalli, Doddaballapur","E096","","","","","","","2025"
"87","College","R.R. Institute of Technology-Chikkabanavara, Bengaluru","E097","","","","","","","2025"
"88","College","R.T.E. Society's Rural Engineering College-Hulkoti, Gadag","E098","","","","","","","2025"
"89","College","Raja Rajeswari College of Engineering-Kumbalgodu, Bengaluru","E099","","","","","","","2025"
"90","College","Rajeev Institute of Technology-BM Bypass Road, Hassan","E100","","","","","","","2025"
"91","College","Rajiv Gandhi Institute of Technology, R T Nagar Post, Bengaluru","E101","","","","","","","2025"
"92","College","Rao Bahadur Y Mahabaleswarappa Engineering College-Cantonment, Ballari","E102","","","","","","","2025"
"93","College","RNS Institute of Technology-R R Nagar Post, Bengaluru","E104","","","","","","","2025"
"94","College","Bheemanna Khandre Institute of Technology-Bhalki, Bidar","E105","","","","","","","2025"
"95","College","SJB Institute of Technology-Kengeri, Bengaluru","E107","","","","","","","2025"
"96","College","S J C Institute of Technology-BB Road, Chikkaballapur","E108","","","","","","","2025"
"97","College","S.E.A. College of Engineering & Technology-K R Puram, Bengaluru","E109","","","","","","","2025"
"98","College","SSET's S.G. Balekundri Institute of Technology-Shivabasava Nagar, Belagavi","E110","","","","","","","2025"
"99","College","Hirasugar Institute of Technology- Nidasoshi,Belagavi","E111","","","","","","","2025"
"100","College","Sahyadri College of Engineering and Management-Adyar, Mangaluru","E112","","","","","","","2025"
"101","College","Sai Vidya Institute of Technology-Rajan Kunte, Bengaluru","E113","","","","","","","2025"
"102","College","Sambhram Institute of Technology-Jalahalli East, Bengaluru","E114","","","","","","","2025"
