Institute,Academic Program Name,Quota,Seat Type,Gender,Opening_R1,Closing_R1
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Aeronautical Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,94757,94757
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Aerospace Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,90119,90119
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Aerospace Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,80099,80099
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,92733,92733
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Artificial Intelligence & Machine Learning (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,109748,109748
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,104746,104746
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Computer Science & Engineering (4 Years, Bachelor of Technology)",KKR,OPEN,Neutral,84428,84428
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Computer Science & Engineering (Cyber Security) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,111502,111502
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Computer Science & Engineering (Data Science) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,111679,111679
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Computer Science & Engineering (IOT) (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,106469,106469
"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru","Electronics & Comm- unication Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,110471,110471
"A.G.M Rural College of Engineering and Technology-Varur, Hubballi","Computer Science & Engineering (4 Years, Bachelor of Technology)",GM,OPEN,Neutral,87966,87966
