exam_type,year,college_code,college_name,category,branch_code,branch_full_name,closing_rank
COMEDK,2025,E005,"Akash Institute of Engineering and Technology- Devanahalli, Bengaluru Rural",GM,Bran,Branch_1,84613
COMEDK,2025,E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,Bran,Branch_1,5776
COMEDK,2025,E027,"BMS College of Engineering-Basavanagudi, Bengaluru",KKR,Bran,Branch_1,17172
COMEDK,2025,E032,"CMR Institute of Technology-Brookefield, Bengaluru",GM,Bran,Branch_1,36348
COMEDK,2025,E032,"CMR Institute of Technology-Brookefield, Bengaluru",KKR,Bran,Branch_1,63963
COMEDK,2025,E035,"Channabasaveshwara Institute of Technology- Gubbi, Tumakuru",GM,Bran,Branch_1,106098
COMEDK,2025,E045,Dr H N National College of Engineering,GM,Bran,Branch_1,92178
COMEDK,2025,E048,"East West Institute of Technology-BEL Layout, Bengaluru",GM,Bran,Branch_1,58938
COMEDK,2025,E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",GM,Bran,Branch_1,80024
COMEDK,2025,E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",KKR,Bran,Branch_1,83910
COMEDK,2025,E055,GSSS Institute of Engineering and Technology for Women,GM,Bran,Branch_1,74720
COMEDK,2025,E055,GSSS Institute of Engineering and Technology for Women,KKR,Bran,Branch_1,97455
COMEDK,2025,E066,"KLE College of Engineering and Technology-Chikodi Dist., Belagavi",GM,Bran,Branch_1,67808
COMEDK,2025,E067,"K.S School of Engineering And Management-Off Kanakapura Road, Bengaluru",GM,Bran,Branch_1,100842
COMEDK,2025,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,Bran,Branch_1,3422
COMEDK,2025,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",KKR,Bran,Branch_1,14044
COMEDK,2025,E082,"Maharaja Institute of Technology-Thandavapura, Mysuru",GM,Bran,Branch_1,88161
COMEDK,2025,E108,"SJC Institute of Technology-BB Road, Chikkaballapur",GM,Bran,Branch_1,93830
COMEDK,2025,E109,"S.E.A. College of Engineering and Technology-K R Puram, Bengaluru",GM,Bran,Branch_1,96811
COMEDK,2025,E110,"SSETs S.G. Balekundri Institute of Technology-Shivabasva Nagar, Belagavi",GM,Bran,Branch_1,87331
COMEDK,2025,E123,"Shri Madhwa Vadiraja Institute of Technology and Management-Bantakal, Udupi",GM,Bran,Branch_1,62552
COMEDK,2025,E164,"REVA University-Yelahanka, Bengaluru",GM,Bran,Branch_1,61900
COMEDK,2025,E164,"REVA University-Yelahanka, Bengaluru",KKR,Bran,Branch_1,84760
COMEDK,2025,E207,"BGS College of Engineering and Technology- Mahalaxmipuram, Bengaluru",GM,Bran,Branch_1,106934
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,Bran,Branch_1,82087
COMEDK,2025,E016,"KLE Technological University Formerly known as BVBCET- Vidyanagar, Hubballi",GM,Bran,Branch_1,97734
COMEDK,2025,E016,"KLE Technological University Formerly known as BVBCET- Vidyanagar, Hubballi",KKR,Bran,Branch_1,68738
COMEDK,2025,E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",GM,Bran,Branch_1,50201
COMEDK,2025,E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,Bran,Branch_1,39302
COMEDK,2025,E027,"BMS College of Engineering-Basavanagudi, Bengaluru",KKR,Bran,Branch_1,76894
COMEDK,2025,E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,Bran,Branch_1,80468
COMEDK,2025,E061,JSS Science and Technology University-Mysuru,GM,Bran,Branch_1,109696
COMEDK,2025,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",GM,Bran,Branch_1,38302
COMEDK,2025,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",KKR,Bran,Branch_1,93008
COMEDK,2025,E095,"R V College of Engineering-Mysore Road, Bengaluru",GM,Bran,Branch_1,18547
COMEDK,2025,E095,"R V College of Engineering-Mysore Road, Bengaluru",KKR,Bran,Branch_1,47177
COMEDK,2025,E126,"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",GM,Bran,Branch_1,72665
COMEDK,2025,E165,"Alliance University-Anekal, Bengaluru",GM,Bran,Branch_1,104073
COMEDK,2025,E164,"REVA University-Yelahanka, Bengaluru",GM,Bran,Branch_1,71315
COMEDK,2025,E164,"REVA University-Yelahanka, Bengaluru",KKR,Bran,Branch_1,110659
COMEDK,2025,E171,"GITAM Deemed to be University-Dodaballapur taluk, Bengaluru",GM,Bran,Branch_1,99933
COMEDK,2025,E165,"Alliance University-Anekal, Bengaluru",KKR,Bran,Branch_1,94377
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,Bran,Branch_2,65930
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",KKR,Bran,Branch_2,97600
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,Bran,Branch_2,95021
COMEDK,2025,E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,Bran,Branch_2,34681
COMEDK,2025,E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",KKR,Bran,Branch_2,59439
COMEDK,2025,E050,"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",GM,Bran,Branch_2,76592
COMEDK,2025,E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",GM,Bran,Branch_2,101565
COMEDK,2025,E080,"Mangalore Institute of Technology and Engineering- Moodbidri, Mangaluru",GM,Bran,Branch_2,47158
COMEDK,2025,E016,"KLE Technological University Formerly known as BVBCET- Vidyanagar, Hubballi",GM,Bran,Branch_2,47299
COMEDK,2025,E016,"KLE Technological University Formerly known as BVBCET- Vidyanagar, Hubballi",KKR,Bran,Branch_2,48608
COMEDK,2025,E026,"BLDEAs V.P. Dr.P.G.Halakatti College of Engineering and Technology-Ashram Road, Vijayapura",GM,Bran,Branch_2,103425
COMEDK,2025,E065,"KLE Technological University, Belagavi Campus. Formerly known as KLE Dr. M.S. Sheshgiri College of Engineering and",GM,Bran,Branch_2,101670
COMEDK,2025,E074,"KLS Vishwanathrao Deshpande Institute of Technology- Dandeli Road, Haliyal",GM,Bran,Branch_2,111074
COMEDK,2025,E078,"Maharaja Institute of Technology-Belawadi, Mandya",GM,Bran,Branch_2,101827
COMEDK,2025,E068,K.S. INSTITUTE OF TECHNOLOGY,GM,Bran,Branch_2,102147
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,Bran,Branch_2,87722
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,Bran,Branch_2,82721
COMEDK,2025,E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,Bran,Branch_2,110946
COMEDK,2025,E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",GM,Bran,Branch_2,63350
COMEDK,2025,E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",KKR,Bran,Branch_2,63087
COMEDK,2025,E016,"KLE Technological University Formerly known as BVBCET- Vidyanagar, Hubballi",GM,Bran,Branch_2,68078
COMEDK,2025,E016,"KLE Technological University Formerly known as BVBCET- Vidyanagar, Hubballi",KKR,Bran,Branch_2,97034
COMEDK,2025,E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,Bran,Branch_2,32446
