exam_type,year,college_code,college_name,category,branch_code,branch_full_name,closing_rank
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,AE,AE-Aeronautical Engineering,65930
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,AI,AI-Artificial Intelligence & Machine Learning,97132
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",KKR,AE,AE-Aeronautical Engineering,97600
COMEDK,2025,E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",KKR,AI,AI-Artificial Intelligence & Machine Learning,86498
COMEDK,2025,E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,AI,AI-Artificial Intelligence & Machine Learning,80971
COMEDK,2025,E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,AS,AS-Aerospace Engineering,90119
COMEDK,2025,E004,Adichunchanagiri Institute of Technology,GM,AI,AI-Artificial Intelligence & Machine Learning,106484
COMEDK,2025,E005,"Akash Institute of Engineering and Technology- Devanahalli, Bengaluru Rural",GM,AD,AD-Artificial Intelligence & Data Science,84613
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,AE,AE-Aeronautical Engineering,95021
COMEDK,2025,E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,AI,AI-Artificial Intelligence & Machine Learning,105341
COMEDK,2025,E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,AI,AI-Artificial Intelligence & Machine Learning,91512
COMEDK,2025,E012,"Atria Institute of Technology-Hebbal, Bengaluru",KKR,AI,AI-Artificial Intelligence & Machine Learning,106136
COMEDK,2025,E014,"Anuvartik Mirji Bharatesh Institute of Technology- Shindhollicross, Belagavi",GM,AI,AI-Artificial Intelligence & Machine Learning,108895
COMEDK,2025,E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",GM,AI,AI-Artificial Intelligence & Machine Learning,43182
COMEDK,2025,E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",KKR,AI,AI-Artificial Intelligence & Machine Learning,57776
COMEDK,2025,E016,"KLE Technological University Formerly known as BVBCET- Vidyanagar, Hubballi",GM,AR,AR-Automation & Robotics Engineering,97544
COMEDK,2025,E016,"KLE Technological University Formerly known as BVBCET- Vidyanagar, Hubballi",KKR,AR,AR-Automation & Robotics Engineering,66578
COMEDK,2025,E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",GM,AI,AI-Artificial Intelligence & Machine Learning,22868
COMEDK,2025,E019,"Bangalore Institute of Technology-V V Puram, Bengaluru",KKR,AI,AI-Artificial Intelligence & Machine Learning,33260
COMEDK,2025,E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",GM,AI,AI-Artificial Intelligence & Machine Learning,111412
COMEDK,2025,E021,"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",KKR,AI,AI-Artificial Intelligence & Machine Learning,78883
COMEDK,2025,E024,"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",GM,AI,AI-Artificial Intelligence & Machine Learning,101501
COMEDK,2025,E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,AD,AD-Artificial Intelligence & Data Science,5776
COMEDK,2025,E027,"BMS College of Engineering-Basavanagudi, Bengaluru",GM,AI,AI-Artificial Intelligence & Machine Learning,6670
COMEDK,2025,E027,"BMS College of Engineering-Basavanagudi, Bengaluru",KKR,AD,AD-Artificial Intelligence & Data Science,17172
COMEDK,2025,E027,"BMS College of Engineering-Basavanagudi, Bengaluru",KKR,AI,AI-Artificial Intelligence & Machine Learning,16435
COMEDK,2025,E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",GM,AI,AI-Artificial Intelligence & Machine Learning,26119
COMEDK,2025,E028,"BMS Institute of Technology and Management-Yelahanka, Bengaluru",KKR,AI,AI-Artificial Intelligence & Machine Learning,41835
COMEDK,2025,E032,"CMR Institute of Technology-Brookefield, Bengaluru",GM,AD,AD-Artificial Intelligence & Data Science,36348
COMEDK,2025,E032,"CMR Institute of Technology-Brookefield, Bengaluru",GM,AI,AI-Artificial Intelligence & Machine Learning,34791
COMEDK,2025,E032,"CMR Institute of Technology-Brookefield, Bengaluru",KKR,AD,AD-Artificial Intelligence & Data Science,63963
COMEDK,2025,E032,"CMR Institute of Technology-Brookefield, Bengaluru",KKR,AI,AI-Artificial Intelligence & Machine Learning,59185
COMEDK,2025,E033,"Cambridge Institute of Technology-K R Puram, Bengaluru",GM,AI,AI-Artificial Intelligence & Machine Learning,103809
COMEDK,2025,E033,"Cambridge Institute of Technology-K R Puram, Bengaluru",KKR,AI,AI-Artificial Intelligence & Machine Learning,96946
COMEDK,2025,E035,"Channabasaveshwara Institute of Technology- Gubbi, Tumakuru",GM,AD,AD-Artificial Intelligence & Data Science,106098
COMEDK,2025,E037,"City Engineering College-Doddakalasandra, Bengaluru",GM,AI,AI-Artificial Intelligence & Machine Learning,90335
COMEDK,2025,E040,"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",GM,AE,AE-Aeronautical Engineering,34681
